ID,Name,Form,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
843,Silicobra,None,Ground,None,315,52,57,75,35,50,46,8
844,Sandaconda,None,Ground,None,510,72,107,125,65,70,71,8
845,Cramorant,None,Flying,Water,475,70,85,55,85,95,85,8
846,Arrokuda,None,Water,None,280,41,63,40,40,30,66,8
847,Barraskewda,None,Water,None,490,61,123,60,60,50,136,8
848,Toxel,None,Electric,Poison,242,40,38,35,54,35,40,8
849,Toxtricity,Amped Form,Electric,Poison,502,75,98,70,114,70,75,8
850,Sizzlipede,None,Fire,Bug,305,50,65,45,50,50,45,8
851,Centiskorch,None,Fire,Bug,525,100,115,65,90,90,65,8
852,Clobbopus,None,Fighting,None,310,50,68,60,50,50,32,8
853,Grapploct,None,Fighting,None,480,80,118,90,70,80,42,8
854,Sinistea,None,Ghost,None,308,40,45,45,74,54,50,8
855,Polteageist,None,Ghost,None,508,60,65,65,134,114,70,8
856,Hatenna,None,Psychic,None,265,42,30,45,56,53,39,8
857,Hattrem,None,Psychic,None,370,57,40,65,86,73,49,8
858,Hatterene,None,Psychic,Fairy,510,57,90,95,136,103,29,8
859,Impidimp,None,Dark,Fairy,265,45,45,30,55,40,50,8
860,Morgrem,None,Dark,Fairy,370,65,60,45,75,55,70,8
861,Grimmsnarl,None,Dark,Fairy,510,95,120,65,95,75,60,8
862,Obstagoon,None,Dark,Normal,520,93,90,101,60,81,95,8
863,Perrserker,None,Steel,None,440,70,110,100,50,60,50,8
864,Cursola,None,Ghost,None,510,60,95,50,145,130,30,8
865,Sirfetch'd,None,Fighting,None,507,62,135,95,68,82,65,8
866,Mr. Rime,None,Ice,Psychic,520,80,85,75,110,100,70,8
867,Runerigus,None,Ground,Ghost,483,58,95,145,50,105,30,8
868,Milcery,None,Fairy,None,270,45,40,40,50,61,34,8
869,Alcremie,None,Fairy,None,495,65,60,75,110,121,64,8
870,Falinks,None,Fighting,None,470,65,100,100,70,60,75,8
871,Pincurchin,None,Electric,None,435,48,101,95,91,85,15,8
872,Snom,None,Ice,Bug,185,30,25,35,45,30,20,8
873,Frosmoth,None,Ice,Bug,475,70,65,60,125,90,65,8
874,Stonjourner,None,Rock,None,470,100,125,135,20,20,70,8
875,Eiscue,Ice Face,Ice,None,470,75,80,110,65,90,50,8
876,Indeedee,Female,Psychic,Normal,475,70,55,65,95,105,85,8
877,Morpeko,Full Belly Mode,Electric,Dark,436,58,95,58,70,58,97,8
878,Cufant,None,Steel,None,330,72,80,49,40,49,40,8
879,Copperajah,None,Steel,None,500,122,130,69,80,69,30,8
880,Dracozolt,None,Electric,Dragon,505,90,100,90,80,70,75,8
881,Arctozolt,None,Electric,Ice,505,90,100,90,90,80,55,8
882,Dracovish,None,Water,Dragon,505,90,90,100,70,80,75,8
883,Arctovish,None,Water,Ice,505,90,90,100,80,90,55,8
884,Duraludon,None,Steel,Dragon,535,70,95,115,120,50,85,8
885,Dreepy,None,Dragon,Ghost,270,28,60,30,40,30,82,8
886,Drakloak,None,Dragon,Ghost,410,68,80,50,60,50,102,8
887,Dragapult,None,Dragon,Ghost,600,88,120,75,100,75,142,8
888,Zacian,Crowned Sword,Fairy,Steel,700,92,150,115,80,115,148,8
889,Zamazenta,Crowned Shield,Fighting,Steel,700,92,120,140,80,140,128,8
890,Eternatus,None,Poison,Dragon,690,140,85,95,145,95,130,8
891,Kubfu,None,Fighting,None,385,60,90,60,53,50,72,8
892,Urshifu,Rapid Strike Style,Fighting,Water,550,100,130,100,63,60,97,8
893,Zarude,None,Dark,Grass,600,105,120,105,70,95,105,8
894,Regieleki,None,Electric,None,580,80,100,50,100,50,200,8
895,Regidrago,None,Dragon,None,580,200,100,50,100,50,80,8
896,Glastrier,None,Ice,None,580,100,145,130,65,110,30,8
897,Spectrier,None,Ghost,None,580,100,65,60,145,80,130,8
898,Calyrex,None,Psychic,Grass,500,100,80,80,80,80,80,8
899,Wyrdeer,None,Normal,Psychic,525,103,105,72,105,75,65,8
900,Kleavor,None,Bug,Rock,500,70,130,95,45,75,85,8
901,Ursaluna,None,Ground,Normal,550,130,140,105,45,80,50,8
902,Basculegion,Female,Water,Ghost,530,120,92,65,100,75,78,8
903,Sneasler,None,Fighting,Poison,510,80,130,60,40,80,120,8
904,Overqwil,None,Dark,Poison,510,85,115,95,65,65,85,8
905,Enamorus,Incarnate Forme,Fairy,Flying,580,74,115,70,135,80,106,8
906,Sprigatito,None,Grass,None,310,40,61,54,45,45,65,9
907,Floragato,None,Grass,None,410,61,80,63,60,63,83,9
908,Meowscarada,None,Grass,Dark,530,76,110,70,81,70,123,9
909,Fuecoco,None,Fire,None,310,67,45,59,63,40,36,9
910,Crocalor,None,Fire,None,411,81,55,78,90,58,49,9
911,Skeledirge,None,Fire,Ghost,530,104,75,100,110,75,66,9
912,Quaxly,None,Water,None,310,55,65,45,50,45,50,9
913,Quaxwell,None,Water,None,410,70,85,65,65,60,65,9
914,Quaquaval,None,Water,Fighting,530,85,120,80,85,75,85,9
915,Lechonk,None,Normal,None,254,54,45,40,35,45,35,9
916,Oinkologne,Female,Normal,None,489,115,90,70,59,90,65,9
917,Tarountula,None,Bug,None,210,35,41,45,29,40,20,9
918,Spidops,None,Bug,None,404,60,79,92,52,86,35,9
919,Nymble,None,Bug,None,210,33,46,40,21,25,45,9
920,Lokix,None,Bug,Dark,450,71,102,78,52,55,92,9
921,Pawmi,None,Electric,None,240,45,50,20,40,25,60,9
922,Pawmo,None,Electric,Fighting,350,60,75,40,50,40,85,9
923,Pawmot,None,Electric,Fighting,490,70,115,70,70,60,105,9
924,Tandemaus,None,Normal,None,305,50,50,45,40,45,75,9
925,Maushold,Family of Four,Normal,None,470,74,75,70,65,75,111,9
926,Fidough,None,Fairy,None,312,37,55,70,30,55,65,9
927,Dachsbun,None,Fairy,None,477,57,80,115,50,80,95,9
928,Smoliv,None,Grass,Normal,260,41,35,45,58,51,30,9
929,Dolliv,None,Grass,Normal,354,52,53,60,78,78,33,9
930,Arboliva,None,Grass,Normal,510,78,69,90,125,109,39,9
931,Squawkabilly,Blue Plumage,Normal,Flying,417,82,96,51,45,51,92,9
932,Nacli,None,Rock,None,280,55,55,75,35,35,25,9
933,Naclstack,None,Rock,None,355,60,60,100,35,65,35,9
934,Garganacl,None,Rock,None,500,100,100,130,45,90,35,9
935,Charcadet,None,Fire,None,255,40,50,40,50,40,35,9
936,Armarouge,None,Fire,Psychic,525,85,60,100,125,80,75,9
937,Ceruledge,None,Fire,Ghost,525,75,125,80,60,100,85,9
938,Tadbulb,None,Electric,None,272,61,31,41,59,35,45,9
939,Bellibolt,None,Electric,None,495,109,64,91,103,83,45,9
940,Wattrel,None,Electric,Flying,280,40,40,35,55,40,70,9
941,Kilowattrel,None,Electric,Flying,490,70,70,60,105,60,125,9
942,Maschiff,None,Dark,None,340,60,78,60,40,51,51,9
943,Mabosstiff,None,Dark,None,505,80,120,90,60,70,85,9
944,Shroodle,None,Poison,Normal,290,40,65,35,40,35,75,9
945,Grafaiai,None,Poison,Normal,485,63,95,65,80,72,110,9
946,Bramblin,None,Grass,Ghost,275,40,65,30,45,35,60,9
947,Brambleghast,None,Grass,Ghost,480,55,115,70,80,70,90,9
948,Toedscool,None,Ground,Grass,335,40,40,35,50,100,70,9
949,Toedscruel,None,Ground,Grass,515,80,70,65,80,120,100,9
950,Klawf,None,Rock,None,450,70,100,115,35,55,75,9
951,Capsakid,None,Grass,None,304,50,62,40,62,40,50,9
952,Scovillain,None,Grass,Fire,486,65,108,65,108,65,75,9
953,Rellor,None,Bug,None,270,41,50,60,31,58,30,9
954,Rabsca,None,Bug,Psychic,470,75,50,85,115,100,45,9
955,Flittle,None,Psychic,None,255,30,35,30,55,30,75,9
956,Espathra,None,Psychic,None,481,95,60,60,101,60,105,9
957,Tinkatink,None,Fairy,Steel,297,50,45,45,35,64,58,9
958,Tinkatuff,None,Fairy,Steel,380,65,55,55,45,82,78,9
959,Tinkaton,None,Fairy,Steel,506,85,75,77,70,105,94,9
960,Wiglett,None,Water,None,245,10,55,25,35,25,95,9
961,Wugtrio,None,Water,None,425,35,100,50,50,70,120,9
962,Bombirdier,None,Flying,Dark,485,70,103,85,60,85,82,9
963,Finizen,None,Water,None,315,70,45,40,45,40,75,9
964,Palafin,Hero Form,Water,None,650,100,160,97,106,87,100,9
965,Varoom,None,Steel,Poison,300,45,70,63,30,45,47,9
966,Revavroom,None,Steel,Poison,500,80,119,90,54,67,90,9
967,Cyclizar,None,Dragon,Normal,501,70,95,65,85,65,121,9
968,Orthworm,None,Steel,None,480,70,85,145,60,55,65,9
969,Glimmet,None,Rock,Poison,350,48,35,42,105,60,60,9
970,Glimmora,None,Rock,Poison,525,83,55,90,130,81,86,9
971,Greavard,None,Ghost,None,290,50,61,60,30,55,34,9
972,Houndstone,None,Ghost,None,488,72,101,100,50,97,68,9
973,Flamigo,None,Flying,Fighting,500,82,115,74,75,64,90,9
974,Cetoddle,None,Ice,None,334,108,68,45,30,40,43,9
975,Cetitan,None,Ice,None,521,170,113,65,45,55,73,9
976,Veluza,None,Water,Psychic,478,90,102,73,78,65,70,9
977,Dondozo,None,Water,None,530,150,100,115,65,65,35,9
978,Tatsugiri,Curly Form,Dragon,Water,475,68,50,60,120,95,82,9
979,Annihilape,None,Fighting,Ghost,535,110,115,80,50,90,90,9
980,Clodsire,None,Poison,Ground,430,130,75,60,45,100,20,9
981,Farigiraf,None,Normal,Psychic,520,120,90,70,110,70,60,9
982,Dudunsparce,Three-Segment Form,Normal,None,520,125,100,80,85,75,55,9
983,Kingambit,None,Dark,Steel,550,100,135,120,60,85,50,9
984,Great Tusk,None,Ground,Fighting,570,115,131,131,53,53,87,9
985,Scream Tail,None,Fairy,Psychic,570,115,65,99,65,115,111,9
986,Brute Bonnet,None,Grass,Dark,570,111,127,99,79,99,55,9
987,Flutter Mane,None,Ghost,Fairy,570,55,55,55,135,135,135,9
988,Slither Wing,None,Bug,Fighting,570,85,135,79,85,105,81,9
989,Sandy Shocks,None,Electric,Ground,570,85,81,97,121,85,101,9
990,Iron Treads,None,Ground,Steel,570,90,112,120,72,70,106,9
991,Iron Bundle,None,Ice,Water,570,56,80,114,124,60,136,9
992,Iron Hands,None,Fighting,Electric,570,154,140,108,50,68,50,9
993,Iron Jugulis,None,Dark,Flying,570,94,80,86,122,80,108,9
994,Iron Moth,None,Fire,Poison,570,80,70,60,140,110,110,9
995,Iron Thorns,None,Rock,Electric,570,100,134,110,70,84,72,9
996,Frigibax,None,Dragon,Ice,320,65,75,45,35,45,55,9
997,Arctibax,None,Dragon,Ice,423,90,95,66,45,65,62,9
998,Baxcalibur,None,Dragon,Ice,600,115,145,92,75,86,87,9
999,Gimmighoul,Chest Form,Ghost,None,300,45,30,70,75,70,10,9
1000,Gholdengo,None,Steel,Ghost,550,87,60,95,133,91,84,9
1001,Wo-Chien,None,Dark,Grass,570,85,85,100,95,135,70,9
1002,Chien-Pao,None,Dark,Ice,570,80,120,80,90,65,135,9
1003,Ting-Lu,None,Dark,Ground,570,155,110,125,55,80,45,9
1004,Chi-Yu,None,Dark,Fire,570,55,80,80,135,120,100,9
1005,Roaring Moon,None,Dragon,Dark,590,105,139,71,55,101,119,9
1006,Iron Valiant,None,Fairy,Fighting,590,74,130,90,120,60,116,9
1007,Koraidon,None,Fighting,Dragon,670,100,135,115,85,100,135,9
1008,Miraidon,None,Electric,Dragon,670,100,85,100,135,115,135,9
1009,Walking Wake,None,Water,Dragon,590,99,83,91,125,83,109,9
1010,Iron Leaves,None,Grass,Psychic,590,90,130,88,70,108,104,9
