ID,Name,Form,Type1,Type2,Total,HP,Attack,Defense,Sp. Atk,Sp. Def,Speed,Generation
91,Cloyster,None,Water,Ice,525,50,95,180,85,45,70,1
92,Gastly,None,Ghost,Poison,310,30,35,30,100,35,80,1
93,Haunter,None,Ghost,Poison,405,45,50,45,115,55,95,1
94,Gengar,None,Ghost,Poison,500,60,65,60,130,75,110,1
95,Onix,None,Rock,Ground,385,35,45,160,30,45,70,1
96,Drowzee,None,Psychic,None,328,60,48,45,43,90,42,1
97,Hypno,None,Psychic,None,483,85,73,70,73,115,67,1
98,Krabby,None,Water,None,325,30,105,90,25,25,50,1
99,Kingler,None,Water,None,475,55,130,115,50,50,75,1
100,Voltorb,None,Electric,None,330,40,30,50,55,55,100,1
101,Electrode,None,Electric,None,490,60,50,70,80,80,150,1
102,Exeggcute,None,Grass,Psychic,325,60,40,80,60,45,40,1
103,Exeggutor,None,Grass,Psychic,530,95,95,85,125,75,55,1
104,Cubone,None,Ground,None,320,50,50,95,40,50,35,1
105,Marowak,None,Ground,None,425,60,80,110,50,80,45,1
106,Hitmonlee,None,Fighting,None,455,50,120,53,35,110,87,1
107,Hitmonchan,None,Fighting,None,455,50,105,79,35,110,76,1
108,Lickitung,None,Normal,None,385,90,55,75,60,75,30,1
109,Koffing,None,Poison,None,340,40,65,95,60,45,35,1
110,Weezing,None,Poison,None,490,65,90,120,85,70,60,1
111,Rhyhorn,None,Ground,Rock,345,80,85,95,30,30,25,1
112,Rhydon,None,Ground,Rock,485,105,130,120,45,45,40,1
113,Chansey,None,Normal,None,450,250,5,5,35,105,50,1
114,Tangela,None,Grass,None,435,65,55,115,100,40,60,1
115,Kangaskhan,None,Normal,None,490,105,95,80,40,80,90,1
116,Horsea,None,Water,None,295,30,40,70,70,25,60,1
117,Seadra,None,Water,None,440,55,65,95,95,45,85,1
118,Goldeen,None,Water,None,320,45,67,60,35,50,63,1
119,Seaking,None,Water,None,450,80,92,65,65,80,68,1
120,Staryu,None,Water,None,340,30,45,55,70,55,85,1
121,Starmie,None,Water,Psychic,520,60,75,85,100,85,115,1
122,Mr. Mime,None,Psychic,Fairy,460,40,45,65,100,120,90,1
123,Scyther,None,Bug,Flying,500,70,110,80,55,80,105,1
124,Jynx,None,Ice,Psychic,455,65,50,35,115,95,95,1
125,Electabuzz,None,Electric,None,490,65,83,57,95,85,105,1
126,Magmar,None,Fire,None,495,65,95,57,100,85,93,1
127,Pinsir,None,Bug,None,500,65,125,100,55,70,85,1
128,Tauros,None,Normal,None,490,75,100,95,40,70,110,1
129,Magikarp,None,Water,None,200,20,10,55,15,20,80,1
130,Gyarados,None,Water,Flying,540,95,125,79,60,100,81,1
131,Lapras,None,Water,Ice,535,130,85,80,85,95,60,1
132,Ditto,None,Normal,None,288,48,48,48,48,48,48,1
133,Eevee,None,Normal,None,325,55,55,50,45,65,55,1
134,Vaporeon,None,Water,None,525,130,65,60,110,95,65,1
135,Jolteon,None,Electric,None,525,65,65,60,110,95,130,1
136,Flareon,None,Fire,None,525,65,130,60,95,110,65,1
137,Porygon,None,Normal,None,395,65,60,70,85,75,40,1
138,Omanyte,None,Rock,Water,355,35,40,100,90,55,35,1
139,Omastar,None,Rock,Water,495,70,60,125,115,70,55,1
140,Kabuto,None,Rock,Water,355,30,80,90,55,45,55,1
141,Kabutops,None,Rock,Water,495,60,115,105,65,70,80,1
142,Aerodactyl,None,Rock,Flying,515,80,105,65,60,75,130,1
143,Snorlax,None,Normal,None,540,160,110,65,65,110,30,1
144,Articuno,None,Ice,Flying,580,90,85,100,95,125,85,1
145,Zapdos,None,Electric,Flying,580,90,90,85,125,90,100,1
146,Moltres,None,Fire,Flying,580,90,100,90,125,85,90,1
147,Dratini,None,Dragon,None,300,41,64,45,50,50,50,1
148,Dragonair,None,Dragon,None,420,61,84,65,70,70,70,1
149,Dragonite,None,Dragon,Flying,600,91,134,95,100,100,80,1
150,Mewtwo,None,Psychic,None,680,106,110,90,154,90,130,1
151,Mew,None,Psychic,None,600,100,100,100,100,100,100,1
152,Chikorita,None,Grass,None,318,45,49,65,49,65,45,2
153,Bayleef,None,Grass,None,405,60,62,80,63,80,60,2
154,Meganium,None,Grass,None,525,80,82,100,83,100,80,2
155,Cyndaquil,None,Fire,None,309,39,52,43,60,50,65,2
156,Quilava,None,Fire,None,405,58,64,58,80,65,80,2
157,Typhlosion,None,Fire,None,534,78,84,78,109,85,100,2
158,Totodile,None,Water,None,314,50,65,64,44,48,43,2
159,Croconaw,None,Water,None,405,65,80,80,59,63,58,2
160,Feraligatr,None,Water,None,530,85,105,100,79,83,78,2
161,Sentret,None,Normal,None,215,35,46,34,35,45,20,2
162,Furret,None,Normal,None,415,85,76,64,45,55,90,2
163,Hoothoot,None,Normal,Flying,262,60,30,30,36,56,50,2
164,Noctowl,None,Normal,Flying,452,100,50,50,86,96,70,2
165,Ledyba,None,Bug,Flying,265,40,20,30,40,80,55,2
166,Ledian,None,Bug,Flying,390,55,35,50,55,110,85,2
167,Spinarak,None,Bug,Poison,250,40,60,40,40,40,30,2
168,Ariados,None,Bug,Poison,400,70,90,70,60,70,40,2
169,Crobat,None,Poison,Flying,535,85,90,80,70,80,130,2
170,Chinchou,None,Water,Electric,330,75,38,38,56,56,67,2
171,Lanturn,None,Water,Electric,460,125,58,58,76,76,67,2
172,Pichu,None,Electric,None,205,20,40,15,35,35,60,2
173,Cleffa,None,Fairy,None,218,50,25,28,45,55,15,2
174,Igglybuff,None,Normal,Fairy,210,90,30,15,40,20,15,2
175,Togepi,None,Fairy,None,245,35,20,65,40,65,20,2
176,Togetic,None,Fairy,Flying,405,55,40,85,80,105,40,2
177,Natu,None,Psychic,Flying,320,40,50,45,70,45,70,2
178,Xatu,None,Psychic,Flying,470,65,75,70,95,70,95,2
179,Mareep,None,Electric,None,280,55,40,40,65,45,35,2
180,Flaaffy,None,Electric,None,365,70,55,55,80,60,45,2
181,Ampharos,None,Electric,None,510,90,75,85,115,90,55,2
182,Bellossom,None,Grass,None,490,75,80,95,90,100,50,2
183,Marill,None,Water,Fairy,250,70,20,50,20,50,40,2
184,Azumarill,None,Water,Fairy,420,100,50,80,60,80,50,2
185,Sudowoodo,None,Rock,None,410,70,100,115,30,65,30,2
186,Politoed,None,Water,None,500,90,75,75,90,100,70,2
187,Hoppip,None,Grass,Flying,250,35,35,40,35,55,50,2
188,Skiploom,None,Grass,Flying,340,55,45,50,45,65,80,2
189,Jumpluff,None,Grass,Flying,460,75,55,70,55,95,110,2
190,Aipom,None,Normal,None,360,55,70,55,40,55,85,2
191,Sunkern,None,Grass,None,180,30,30,30,30,30,30,2
192,Sunflora,None,Grass,None,425,75,75,55,105,85,30,2
193,Yanma,None,Bug,Flying,390,65,65,45,75,45,95,2
194,Wooper,None,Water,Ground,210,55,45,45,25,25,15,2
195,Quagsire,None,Water,Ground,430,95,85,85,65,65,35,2
196,Espeon,None,Psychic,None,525,65,65,60,130,95,110,2
197,Umbreon,None,Dark,None,525,95,65,110,60,130,65,2
198,Murkrow,None,Dark,Flying,405,60,85,42,85,42,91,2
199,Slowking,None,Water,Psychic,490,95,75,80,100,110,30,2
200,Misdreavus,None,Ghost,None,435,60,60,60,85,85,85,2
201,Unown,None,Psychic,None,336,48,72,48,72,48,48,2
202,Wobbuffet,None,Psychic,None,405,190,33,58,33,58,33,2
203,Girafarig,None,Normal,Psychic,455,70,80,65,90,65,85,2
204,Pineco,None,Bug,None,290,50,65,90,35,35,15,2
205,Forretress,None,Bug,Steel,465,75,90,140,60,60,40,2
206,Dunsparce,None,Normal,None,415,100,70,70,65,65,45,2
207,Gligar,None,Ground,Flying,430,65,75,105,35,65,85,2
208,Steelix,None,Steel,Ground,510,75,85,200,55,65,30,2
209,Snubbull,None,Fairy,None,300,60,80,50,40,40,30,2
210,Granbull,None,Fairy,None,450,90,120,75,60,60,45,2
211,Qwilfish,None,Water,Poison,440,65,95,85,55,55,85,2
212,Scizor,None,Bug,Steel,500,70,130,100,55,80,65,2
213,Shuckle,None,Bug,Rock,505,20,10,230,10,230,5,2
214,Heracross,None,Bug,Fighting,500,80,125,75,40,95,85,2
215,Sneasel,None,Dark,Ice,430,55,95,55,35,75,115,2
216,Teddiursa,None,Normal,None,330,60,80,50,50,50,40,2
217,Ursaring,None,Normal,None,500,90,130,75,75,75,55,2
218,Slugma,None,Fire,None,250,40,40,40,70,40,20,2
219,Magcargo,None,Fire,Rock,430,60,50,120,90,80,30,2
220,Swinub,None,Ice,Ground,250,50,50,40,30,30,50,2
221,Piloswine,None,Ice,Ground,450,100,100,80,60,60,50,2
222,Corsola,None,Water,Rock,410,65,55,95,65,95,35,2
223,Remoraid,None,Water,None,300,35,65,35,65,35,65,2
224,Octillery,None,Water,None,480,75,105,75,105,75,45,2
225,Delibird,None,Ice,Flying,330,45,55,45,65,45,75,2
226,Mantine,None,Water,Flying,485,85,40,70,80,140,70,2
227,Skarmory,None,Steel,Flying,465,65,80,140,40,70,70,2
228,Houndour,None,Dark,Fire,330,45,60,30,80,50,65,2
229,Houndoom,None,Dark,Fire,500,75,90,50,110,80,95,2
230,Kingdra,None,Water,Dragon,540,75,95,95,95,95,85,2
231,Phanpy,None,Ground,None,330,90,60,60,40,40,40,2
232,Donphan,None,Ground,None,500,90,120,120,60,60,50,2
233,Porygon2,None,Normal,None,515,85,80,90,105,95,60,2
234,Stantler,None,Normal,None,465,73,95,62,85,65,85,2
235,Smeargle,None,Normal,None,250,55,20,35,20,45,75,2
236,Tyrogue,None,Fighting,None,210,35,35,35,35,35,35,2
237,Hitmontop,None,Fighting,None,455,50,95,95,35,110,70,2
238,Smoochum,None,Ice,Psychic,305,45,30,15,85,65,65,2
239,Elekid,None,Electric,None,360,45,63,37,65,55,95,2
240,Magby,None,Fire,None,365,45,75,37,70,55,83,2
241,Miltank,None,Normal,None,490,95,80,105,40,70,100,2
242,Blissey,None,Normal,None,540,255,10,10,75,135,55,2
243,Raikou,None,Electric,None,580,90,85,75,115,100,115,2
244,Entei,None,Fire,None,580,115,115,85,90,75,100,2
245,Suicune,None,Water,None,580,100,75,115,90,115,85,2
246,Larvitar,None,Rock,Ground,300,50,64,50,45,50,41,2
247,Pupitar,None,Rock,Ground,410,70,84,70,65,70,51,2
248,Tyranitar,None,Rock,Dark,600,100,134,110,95,100,61,2
249,Lugia,None,Psychic,Flying,680,106,90,130,90,154,110,2
250,Ho-oh,None,Fire,Flying,680,106,130,90,110,154,90,2
251,Celebi,None,Psychic,Grass,600,100,100,100,100,100,100,2
252,Treecko,None,Grass,None,310,40,45,35,65,55,70,3
253,Grovyle,None,Grass,None,405,50,65,45,85,65,95,3
254,Sceptile,None,Grass,None,530,70,85,65,105,85,120,3
255,Torchic,None,Fire,None,310,45,60,40,70,50,45,3
256,Combusken,None,Fire,Fighting,405,60,85,60,85,60,55,3
257,Blaziken,None,Fire,Fighting,530,80,120,70,110,70,80,3
258,Mudkip,None,Water,None,310,50,70,50,50,50,40,3
259,Marshtomp,None,Water,Ground,405,70,85,70,60,70,50,3
260,Swampert,None,Water,Ground,535,100,110,90,85,90,60,3
261,Poochyena,None,Dark,None,220,35,55,35,30,30,35,3
262,Mightyena,None,Dark,None,420,70,90,70,60,60,70,3
263,Zigzagoon,None,Normal,None,240,38,30,41,30,41,60,3
264,Linoone,None,Normal,None,420,78,70,61,50,61,100,3
265,Wurmple,None,Bug,None,195,45,45,35,20,30,20,3
266,Silcoon,None,Bug,None,205,50,35,55,25,25,15,3
267,Beautifly,None,Bug,Flying,395,60,70,50,100,50,65,3
268,Cascoon,None,Bug,None,205,50,35,55,25,25,15,3
269,Dustox,None,Bug,Poison,385,60,50,70,50,90,65,3
270,Lotad,None,Water,Grass,220,40,30,30,40,50,30,3
271,Lombre,None,Water,Grass,340,60,50,50,60,70,50,3
272,Ludicolo,None,Water,Grass,480,80,70,70,90,100,70,3
273,Seedot,None,Grass,None,220,40,40,50,30,30,30,3
274,Nuzleaf,None,Grass,Dark,340,70,70,40,60,40,60,3
275,Shiftry,None,Grass,Dark,480,90,100,60,90,60,80,3
276,Taillow,None,Normal,Flying,270,40,55,30,30,30,85,3
277,Swellow,None,Normal,Flying,455,60,85,60,75,50,125,3
278,Wingull,None,Water,Flying,270,40,30,30,55,30,85,3
279,Pelipper,None,Water,Flying,440,60,50,100,95,70,65,3
280,Ralts,None,Psychic,Fairy,198,28,25,25,45,35,40,3
281,Kirlia,None,Psychic,Fairy,278,38,35,35,65,55,50,3
282,Gardevoir,None,Psychic,Fairy,518,68,65,65,125,115,80,3
283,Surskit,None,Bug,Water,269,40,30,32,50,52,65,3
284,Masquerain,None,Bug,Flying,454,70,60,62,100,82,80,3
285,Shroomish,None,Grass,None,295,60,40,60,40,60,35,3
286,Breloom,None,Grass,Fighting,460,60,130,80,60,60,70,3
287,Slakoth,None,Normal,None,280,60,60,60,35,35,30,3
288,Vigoroth,None,Normal,None,440,80,80,80,55,55,90,3
289,Slaking,None,Normal,None,670,150,160,100,95,65,100,3
290,Nincada,None,Bug,Ground,266,31,45,90,30,30,40,3
291,Ninjask,None,Bug,Flying,456,61,90,45,50,50,160,3
292,Shedinja,None,Bug,Ghost,236,1,90,45,30,30,40,3
293,Whismur,None,Normal,None,240,64,51,23,51,23,28,3
294,Loudred,None,Normal,None,360,84,71,43,71,43,48,3
295,Exploud,None,Normal,None,490,104,91,63,91,73,68,3
296,Makuhita,None,Fighting,None,237,72,60,30,20,30,25,3
297,Hariyama,None,Fighting,None,474,144,120,60,40,60,50,3
298,Azurill,None,Normal,Fairy,190,50,20,40,20,40,20,3
299,Nosepass,None,Rock,None,375,30,45,135,45,90,30,3
300,Skitty,None,Normal,None,260,50,45,45,35,35,50,3
301,Delcatty,None,Normal,None,400,70,65,65,55,55,90,3
302,Sableye,None,Dark,Ghost,380,50,75,75,65,65,50,3
303,Mawile,None,Steel,Fairy,380,50,85,85,55,55,50,3
304,Aron,None,Steel,Rock,330,50,70,100,40,40,30,3
305,Lairon,None,Steel,Rock,430,60,90,140,50,50,40,3
306,Aggron,None,Steel,Rock,530,70,110,180,60,60,50,3
307,Meditite,None,Fighting,Psychic,280,30,40,55,40,55,60,3
308,Medicham,None,Fighting,Psychic,410,60,60,75,60,75,80,3
309,Electrike,None,Electric,None,295,40,45,40,65,40,65,3
310,Manectric,None,Electric,None,475,70,75,60,105,60,105,3
311,Plusle,None,Electric,None,405,60,50,40,85,75,95,3
312,Minun,None,Electric,None,405,60,40,50,75,85,95,3
313,Volbeat,None,Bug,None,430,65,73,75,47,85,85,3
314,Illumise,None,Bug,None,430,65,47,75,73,85,85,3
315,Roselia,None,Grass,Poison,400,50,60,45,100,80,65,3
316,Gulpin,None,Poison,None,302,70,43,53,43,53,40,3
317,Swalot,None,Poison,None,467,100,73,83,73,83,55,3
318,Carvanha,None,Water,Dark,305,45,90,20,65,20,65,3
319,Sharpedo,None,Water,Dark,460,70,120,40,95,40,95,3
320,Wailmer,None,Water,None,400,130,70,35,70,35,60,3
321,Wailord,None,Water,None,500,170,90,45,90,45,60,3
322,Numel,None,Fire,Ground,305,60,60,40,65,45,35,3
323,Camerupt,None,Fire,Ground,460,70,100,70,105,75,40,3
324,Torkoal,None,Fire,None,470,70,85,140,85,70,20,3
325,Spoink,None,Psychic,None,330,60,25,35,70,80,60,3
326,Grumpig,None,Psychic,None,470,80,45,65,90,110,80,3
327,Spinda,None,Normal,None,360,60,60,60,60,60,60,3
328,Trapinch,None,Ground,None,290,45,100,45,45,45,10,3
329,Vibrava,None,Ground,Dragon,340,50,70,50,50,50,70,3
330,Flygon,None,Ground,Dragon,520,80,100,80,80,80,100,3
331,Cacnea,None,Grass,None,335,50,85,40,85,40,35,3
332,Cacturne,None,Grass,Dark,475,70,115,60,115,60,55,3
333,Swablu,None,Normal,Flying,310,45,40,60,40,75,50,3
334,Altaria,None,Dragon,Flying,490,75,70,90,70,105,80,3
335,Zangoose,None,Normal,None,458,73,115,60,60,60,90,3
336,Seviper,None,Poison,None,458,73,100,60,100,60,65,3
337,Lunatone,None,Rock,Psychic,460,90,55,65,95,85,70,3
338,Solrock,None,Rock,Psychic,460,90,95,85,55,65,70,3
339,Barboach,None,Water,Ground,288,50,48,43,46,41,60,3
340,Whiscash,None,Water,Ground,468,110,78,73,76,71,60,3
341,Corphish,None,Water,None,308,43,80,65,50,35,35,3
342,Crawdaunt,None,Water,Dark,468,63,120,85,90,55,55,3
343,Baltoy,None,Ground,Psychic,300,40,40,55,40,70,55,3
344,Claydol,None,Ground,Psychic,500,60,70,105,70,120,75,3
345,Lileep,None,Rock,Grass,355,66,41,77,61,87,23,3
346,Cradily,None,Rock,Grass,495,86,81,97,81,107,43,3
347,Anorith,None,Rock,Bug,355,45,95,50,40,50,75,3
348,Armaldo,None,Rock,Bug,495,75,125,100,70,80,45,3
349,Feebas,None,Water,None,200,20,15,20,10,55,80,3
350,Milotic,None,Water,None,540,95,60,79,100,125,81,3
351,Castform,None,Normal,None,420,70,70,70,70,70,70,3
352,Kecleon,None,Normal,None,440,60,90,70,60,120,40,3
353,Shuppet,None,Ghost,None,295,44,75,35,63,33,45,3
354,Banette,None,Ghost,None,455,64,115,65,83,63,65,3
355,Duskull,None,Ghost,None,295,20,40,90,30,90,25,3
356,Dusclops,None,Ghost,None,455,40,70,130,60,130,25,3
357,Tropius,None,Grass,Flying,460,99,68,83,72,87,51,3
358,Chimecho,None,Psychic,None,455,75,50,80,95,90,65,3
359,Absol,None,Dark,None,465,65,130,60,75,60,75,3
360,Wynaut,None,Psychic,None,260,95,23,48,23,48,23,3
361,Snorunt,None,Ice,None,300,50,50,50,50,50,50,3
362,Glalie,None,Ice,None,480,80,80,80,80,80,80,3
363,Spheal,None,Ice,Water,290,70,40,50,55,50,25,3
364,Sealeo,None,Ice,Water,410,90,60,70,75,70,45,3
365,Walrein,None,Ice,Water,530,110,80,90,95,90,65,3
366,Clamperl,None,Water,None,345,35,64,85,74,55,32,3
367,Huntail,None,Water,None,485,55,104,105,94,75,52,3
368,Gorebyss,None,Water,None,485,55,84,105,114,75,52,3
369,Relicanth,None,Water,Rock,485,100,90,130,45,65,55,3
370,Luvdisc,None,Water,None,330,43,30,55,40,65,97,3
371,Bagon,None,Dragon,None,300,45,75,60,40,30,50,3
372,Shelgon,None,Dragon,None,420,65,95,100,60,50,50,3
373,Salamence,None,Dragon,Flying,600,95,135,80,110,80,100,3
374,Beldum,None,Steel,Psychic,300,40,55,80,35,60,30,3
375,Metang,None,Steel,Psychic,420,60,75,100,55,80,50,3
376,Metagross,None,Steel,Psychic,600,80,135,130,95,90,70,3
377,Regirock,None,Rock,None,580,80,100,200,50,100,50,3
378,Regice,None,Ice,None,580,80,50,100,100,200,50,3
379,Registeel,None,Steel,None,580,80,75,150,75,150,50,3
380,Latias,None,Dragon,Psychic,600,80,80,90,110,130,110,3
381,Latios,None,Dragon,Psychic,600,80,90,80,130,110,110,3
382,Kyogre,None,Water,None,670,100,100,90,150,140,90,3
383,Groudon,None,Ground,None,670,100,150,140,100,90,90,3
384,Rayquaza,None,Dragon,Flying,680,105,150,90,150,90,95,3
385,Jirachi,None,Steel,Psychic,600,100,100,100,100,100,100,3
386,Deoxys,None,Psychic,None,600,50,150,50,150,50,150,3
387,Turtwig,None,Grass,None,318,55,68,64,45,55,31,4
388,Grotle,None,Grass,None,405,75,89,85,55,65,36,4
389,Torterra,None,Grass,Ground,525,95,109,105,75,85,56,4
390,Chimchar,None,Fire,None,309,44,58,44,58,44,61,4
391,Monferno,None,Fire,Fighting,405,64,78,52,78,52,81,4
392,Infernape,None,Fire,Fighting,534,76,104,71,104,71,108,4
393,Piplup,None,Water,None,314,53,51,53,61,56,40,4
394,Prinplup,None,Water,None,405,64,66,68,81,76,50,4
395,Empoleon,None,Water,Steel,530,84,86,88,111,101,60,4
396,Starly,None,Normal,Flying,245,40,55,30,30,30,60,4
397,Staravia,None,Normal,Flying,340,55,75,50,40,40,80,4
398,Staraptor,None,Normal,Flying,485,85,120,70,50,60,100,4
399,Bidoof,None,Normal,None,250,59,45,40,35,40,31,4
400,Bibarel,None,Normal,Water,410,79,85,60,55,60,71,4
401,Kricketot,None,Bug,None,194,37,25,41,25,41,25,4
402,Kricketune,None,Bug,None,384,77,85,51,55,51,65,4
403,Shinx,None,Electric,None,263,45,65,34,40,34,45,4
404,Luxio,None,Electric,None,363,60,85,49,60,49,60,4
405,Luxray,None,Electric,None,523,80,120,79,95,79,70,4
406,Budew,None,Grass,Poison,280,40,30,35,50,70,55,4
407,Roserade,None,Grass,Poison,515,60,70,65,125,105,90,4
408,Cranidos,None,Rock,None,350,67,125,40,30,30,58,4
409,Rampardos,None,Rock,None,495,97,165,60,65,50,58,4
410,Shieldon,None,Rock,Steel,350,30,42,118,42,88,30,4
411,Bastiodon,None,Rock,Steel,495,60,52,168,47,138,30,4
412,Burmy,Plant Cloak,Bug,None,224,40,29,45,29,45,36,4
413,Wormadam,Plant Cloak,Bug,Grass,424,60,59,85,79,105,36,4
414,Mothim,None,Bug,Flying,424,70,94,50,94,50,66,4
415,Combee,None,Bug,Flying,244,30,30,42,30,42,70,4
416,Vespiquen,None,Bug,Flying,474,70,80,102,80,102,40,4
417,Pachirisu,None,Electric,None,405,60,45,70,45,90,95,4
418,Buizel,None,Water,None,330,55,65,35,60,30,85,4
419,Floatzel,None,Water,None,495,85,105,55,85,50,115,4
420,Cherubi,None,Grass,None,275,45,35,45,62,53,35,4
421,Cherrim,None,Grass,None,450,70,60,70,87,78,85,4
422,Shellos,None,Water,None,325,76,48,48,57,62,34,4
423,Gastrodon,None,Water,Ground,475,111,83,68,92,82,39,4
424,Ambipom,None,Normal,None,482,75,100,66,60,66,115,4
425,Drifloon,None,Ghost,Flying,348,90,50,34,60,44,70,4
